run_seed,Condition,Frequency Irregularity,Condition
16,DAMGO + $G_{NaP} \times 1.3$,0.14865008662704168,DAMGO + $G_{NaP} \times 1.3$
16,DAMGO + $G_{NaP} \times 1.5$,0.28233785616450635,DAMGO + $G_{NaP} \times 1.5$
17,Control,0.36958651045818736,Control
17,DAMGO,0.5538781171792364,DAMGO
17,DAMGO + $G_{NaP} \times 1.1$,0.3131603725891917,DAMGO + $G_{NaP} \times 1.1$
17,DAMGO + $G_{NaP} \times 1.3$,0.24682056072440803,DAMGO + $G_{NaP} \times 1.3$
17,DAMGO + $G_{NaP} \times 1.5$,0.538694420909074,DAMGO + $G_{NaP} \times 1.5$
18,Control,0.17535404675430558,Control
18,DAMGO,0.28195920819875775,DAMGO
18,DAMGO + $G_{NaP} \times 1.1$,0.08512953456977695,DAMGO + $G_{NaP} \times 1.1$
18,DAMGO + $G_{NaP} \times 1.3$,0.0675705173231409,DAMGO + $G_{NaP} \times 1.3$
18,DAMGO + $G_{NaP} \times 1.5$,0.05607781434550384,DAMGO + $G_{NaP} \times 1.5$
19,Control,0.1288036229479793,Control
19,DAMGO,0.25068579614689507,DAMGO
19,DAMGO + $G_{NaP} \times 1.1$,0.11954747697651097,DAMGO + $G_{NaP} \times 1.1$
19,DAMGO + $G_{NaP} \times 1.3$,0.15477997468366284,DAMGO + $G_{NaP} \times 1.3$
19,DAMGO + $G_{NaP} \times 1.5$,0.09286188560717275,DAMGO + $G_{NaP} \times 1.5$
20,Control,0.40857415766664984,Control
20,DAMGO,0.4162355427336929,DAMGO
20,DAMGO + $G_{NaP} \times 1.1$,0.4180814420535328,DAMGO + $G_{NaP} \times 1.1$
20,DAMGO + $G_{NaP} \times 1.3$,0.363404060929136,DAMGO + $G_{NaP} \times 1.3$
20,DAMGO + $G_{NaP} \times 1.5$,0.46375642946688456,DAMGO + $G_{NaP} \times 1.5$
21,Control,0.2160455668133548,Control
21,DAMGO,0.2019199263583982,DAMGO
21,DAMGO + $G_{NaP} \times 1.1$,0.1049623904324499,DAMGO + $G_{NaP} \times 1.1$
21,DAMGO + $G_{NaP} \times 1.3$,0.19075779416934083,DAMGO + $G_{NaP} \times 1.3$
21,DAMGO + $G_{NaP} \times 1.5$,0.1404368811688823,DAMGO + $G_{NaP} \times 1.5$
22,Control,0.27978496568889344,Control
22,DAMGO,0.2977916091724515,DAMGO
22,DAMGO + $G_{NaP} \times 1.1$,0.07503809608696857,DAMGO + $G_{NaP} \times 1.1$
22,DAMGO + $G_{NaP} \times 1.3$,0.07432393178205915,DAMGO + $G_{NaP} \times 1.3$
22,DAMGO + $G_{NaP} \times 1.5$,0.14067389047905224,DAMGO + $G_{NaP} \times 1.5$
23,Control,0.22149869525465135,Control
23,DAMGO,0.3396940591430761,DAMGO
23,DAMGO + $G_{NaP} \times 1.1$,0.2355097435075701,DAMGO + $G_{NaP} \times 1.1$
23,DAMGO + $G_{NaP} \times 1.3$,0.1248695595977928,DAMGO + $G_{NaP} \times 1.3$
23,DAMGO + $G_{NaP} \times 1.5$,0.18574616062418095,DAMGO + $G_{NaP} \times 1.5$
24,Control,0.2058065558096364,Control
24,DAMGO,0.20335059215904588,DAMGO
24,DAMGO + $G_{NaP} \times 1.1$,0.03592889634384212,DAMGO + $G_{NaP} \times 1.1$
24,DAMGO + $G_{NaP} \times 1.3$,0.14086025733974947,DAMGO + $G_{NaP} \times 1.3$
24,DAMGO + $G_{NaP} \times 1.5$,0.18373096358857757,DAMGO + $G_{NaP} \times 1.5$
25,Control,0.18431405392875883,Control
25,DAMGO,0.1610853574478934,DAMGO
25,DAMGO + $G_{NaP} \times 1.1$,0.0707948928178825,DAMGO + $G_{NaP} \times 1.1$
25,DAMGO + $G_{NaP} \times 1.3$,0.09159312771818233,DAMGO + $G_{NaP} \times 1.3$
25,DAMGO + $G_{NaP} \times 1.5$,0.17705806161781532,DAMGO + $G_{NaP} \times 1.5$
26,Control,0.20837956870912577,Control
26,DAMGO,0.16802213028909624,DAMGO
26,DAMGO + $G_{NaP} \times 1.1$,0.18161015139650627,DAMGO + $G_{NaP} \times 1.1$
26,DAMGO + $G_{NaP} \times 1.3$,0.08834041969824212,DAMGO + $G_{NaP} \times 1.3$
26,DAMGO + $G_{NaP} \times 1.5$,0.15581661618415846,DAMGO + $G_{NaP} \times 1.5$
27,Control,0.2146168660901052,Control
27,DAMGO,0.40935466277778104,DAMGO
27,DAMGO + $G_{NaP} \times 1.1$,0.057008600768332605,DAMGO + $G_{NaP} \times 1.1$
27,DAMGO + $G_{NaP} \times 1.3$,0.2550846350711658,DAMGO + $G_{NaP} \times 1.3$
27,DAMGO + $G_{NaP} \times 1.5$,0.3473133767787229,DAMGO + $G_{NaP} \times 1.5$
28,Control,0.19542703245507248,Control
28,DAMGO,0.23135966249471288,DAMGO
28,DAMGO + $G_{NaP} \times 1.1$,0.07917432331274868,DAMGO + $G_{NaP} \times 1.1$
28,DAMGO + $G_{NaP} \times 1.3$,0.031481849755768496,DAMGO + $G_{NaP} \times 1.3$
28,DAMGO + $G_{NaP} \times 1.5$,0.09378272982593869,DAMGO + $G_{NaP} \times 1.5$
29,Control,0.1658186489101242,Control
29,DAMGO,0.16388672783900396,DAMGO
29,DAMGO + $G_{NaP} \times 1.1$,0.12704421184122844,DAMGO + $G_{NaP} \times 1.1$
29,DAMGO + $G_{NaP} \times 1.3$,0.06279940493312491,DAMGO + $G_{NaP} \times 1.3$
29,DAMGO + $G_{NaP} \times 1.5$,0.11250069044609715,DAMGO + $G_{NaP} \times 1.5$
30,Control,0.12614064414154197,Control
30,DAMGO,0.10728531855026407,DAMGO
30,DAMGO + $G_{NaP} \times 1.1$,0.06049331393043402,DAMGO + $G_{NaP} \times 1.1$
30,DAMGO + $G_{NaP} \times 1.3$,0.12690178262945567,DAMGO + $G_{NaP} \times 1.3$
30,DAMGO + $G_{NaP} \times 1.5$,0.1729626079598821,DAMGO + $G_{NaP} \times 1.5$
31,Control,0.07363160186724735,Control
31,DAMGO,0.2563032030613774,DAMGO
31,DAMGO + $G_{NaP} \times 1.1$,0.07707280286541111,DAMGO + $G_{NaP} \times 1.1$
31,DAMGO + $G_{NaP} \times 1.3$,0.08271112127261028,DAMGO + $G_{NaP} \times 1.3$
31,DAMGO + $G_{NaP} \times 1.5$,0.2098518987566552,DAMGO + $G_{NaP} \times 1.5$
32,Control,0.07109212683506061,Control
32,DAMGO,0.19340933434442747,DAMGO
32,DAMGO + $G_{NaP} \times 1.1$,0.039248252497923644,DAMGO + $G_{NaP} \times 1.1$
32,DAMGO + $G_{NaP} \times 1.3$,0.04160810917841313,DAMGO + $G_{NaP} \times 1.3$
32,DAMGO + $G_{NaP} \times 1.5$,0.09370257118885623,DAMGO + $G_{NaP} \times 1.5$
33,Control,0.3545270912729191,Control
33,DAMGO,0.8018044391493154,DAMGO
33,DAMGO + $G_{NaP} \times 1.1$,0.5249258486042659,DAMGO + $G_{NaP} \times 1.1$
33,DAMGO + $G_{NaP} \times 1.3$,0.559910434326244,DAMGO + $G_{NaP} \times 1.3$
33,DAMGO + $G_{NaP} \times 1.5$,0.6847987786163651,DAMGO + $G_{NaP} \times 1.5$
34,Control,0.17661359242535424,Control
34,DAMGO,0.1070290465248611,DAMGO
34,DAMGO + $G_{NaP} \times 1.1$,0.14309220646282733,DAMGO + $G_{NaP} \times 1.1$
34,DAMGO + $G_{NaP} \times 1.3$,0.3430808484109804,DAMGO + $G_{NaP} \times 1.3$
34,DAMGO + $G_{NaP} \times 1.5$,0.32885442090238964,DAMGO + $G_{NaP} \times 1.5$
35,Control,0.23306184023311008,Control
35,DAMGO,0.3093037592040402,DAMGO
35,DAMGO + $G_{NaP} \times 1.1$,0.107536052729693,DAMGO + $G_{NaP} \times 1.1$
35,DAMGO + $G_{NaP} \times 1.3$,0.12805603985877972,DAMGO + $G_{NaP} \times 1.3$
35,DAMGO + $G_{NaP} \times 1.5$,0.12988950805497174,DAMGO + $G_{NaP} \times 1.5$
36,Control,0.2228614323599581,Control
36,DAMGO,0.21364043454632792,DAMGO
36,DAMGO + $G_{NaP} \times 1.1$,0.09056529969575743,DAMGO + $G_{NaP} \times 1.1$
36,DAMGO + $G_{NaP} \times 1.3$,0.11992732391661753,DAMGO + $G_{NaP} \times 1.3$
36,DAMGO + $G_{NaP} \times 1.5$,0.1792463026610615,DAMGO + $G_{NaP} \times 1.5$
37,Control,0.15650650078207487,Control
37,DAMGO,0.1676989467271602,DAMGO
37,DAMGO + $G_{NaP} \times 1.1$,0.07291853783351217,DAMGO + $G_{NaP} \times 1.1$
37,DAMGO + $G_{NaP} \times 1.3$,0.136188709350981,DAMGO + $G_{NaP} \times 1.3$
37,DAMGO + $G_{NaP} \times 1.5$,0.25422912858470315,DAMGO + $G_{NaP} \times 1.5$
38,Control,0.23793188254496597,Control
38,DAMGO,0.14893280096678171,DAMGO
38,DAMGO + $G_{NaP} \times 1.1$,0.2230230248550589,DAMGO + $G_{NaP} \times 1.1$
38,DAMGO + $G_{NaP} \times 1.3$,0.05809911742427275,DAMGO + $G_{NaP} \times 1.3$
38,DAMGO + $G_{NaP} \times 1.5$,0.12498724953248481,DAMGO + $G_{NaP} \times 1.5$
39,Control,0.15261242625344676,Control
39,DAMGO,0.18639781581117762,DAMGO
39,DAMGO + $G_{NaP} \times 1.1$,0.19655701823957036,DAMGO + $G_{NaP} \times 1.1$
39,DAMGO + $G_{NaP} \times 1.3$,0.2189803347605305,DAMGO + $G_{NaP} \times 1.3$
39,DAMGO + $G_{NaP} \times 1.5$,0.14687563252773958,DAMGO + $G_{NaP} \times 1.5$
40,Control,0.20934502558671622,Control
40,DAMGO,0.2996395599618519,DAMGO
40,DAMGO + $G_{NaP} \times 1.1$,0.05940629103204044,DAMGO + $G_{NaP} \times 1.1$
40,DAMGO + $G_{NaP} \times 1.3$,0.2927287200529601,DAMGO + $G_{NaP} \times 1.3$
40,DAMGO + $G_{NaP} \times 1.5$,0.22056049202378766,DAMGO + $G_{NaP} \times 1.5$
