run_seed,Condition,Burst Amp,Condition
16,DAMGO + $G_{NaP} \times 1.5$,5.239811412798441,DAMGO + $G_{NaP} \times 1.5$
17,Control,3.100513423285059,Control
17,DAMGO,2.3577916477326357,DAMGO
17,DAMGO + $G_{NaP} \times 1.1$,2.5708546049917347,DAMGO + $G_{NaP} \times 1.1$
17,DAMGO + $G_{NaP} \times 1.3$,3.909534424437393,DAMGO + $G_{NaP} \times 1.3$
17,DAMGO + $G_{NaP} \times 1.5$,4.629919777655674,DAMGO + $G_{NaP} \times 1.5$
18,Control,3.6834994609638465,Control
18,DAMGO,2.311630105128327,DAMGO
18,DAMGO + $G_{NaP} \times 1.1$,2.3667159551543495,DAMGO + $G_{NaP} \times 1.1$
18,DAMGO + $G_{NaP} \times 1.3$,3.3410040447765534,DAMGO + $G_{NaP} \times 1.3$
18,DAMGO + $G_{NaP} \times 1.5$,4.063758612937605,DAMGO + $G_{NaP} \times 1.5$
19,Control,4.05258364470913,Control
19,DAMGO,2.8306565710606724,DAMGO
19,DAMGO + $G_{NaP} \times 1.1$,2.7494957076645203,DAMGO + $G_{NaP} \times 1.1$
19,DAMGO + $G_{NaP} \times 1.3$,3.6759232693045103,DAMGO + $G_{NaP} \times 1.3$
19,DAMGO + $G_{NaP} \times 1.5$,4.696861664866646,DAMGO + $G_{NaP} \times 1.5$
20,Control,2.260313613698769,Control
20,DAMGO,1.789212912117606,DAMGO
20,DAMGO + $G_{NaP} \times 1.1$,1.8465413112780198,DAMGO + $G_{NaP} \times 1.1$
20,DAMGO + $G_{NaP} \times 1.3$,3.16176586571562,DAMGO + $G_{NaP} \times 1.3$
20,DAMGO + $G_{NaP} \times 1.5$,4.462542577990425,DAMGO + $G_{NaP} \times 1.5$
21,Control,3.391193535102258,Control
21,DAMGO,2.6374538891586194,DAMGO
21,DAMGO + $G_{NaP} \times 1.1$,2.5503857554848866,DAMGO + $G_{NaP} \times 1.1$
21,DAMGO + $G_{NaP} \times 1.3$,3.645312211959056,DAMGO + $G_{NaP} \times 1.3$
21,DAMGO + $G_{NaP} \times 1.5$,3.2863217330721866,DAMGO + $G_{NaP} \times 1.5$
22,Control,2.8692654394721964,Control
22,DAMGO,1.98581264600367,DAMGO
22,DAMGO + $G_{NaP} \times 1.1$,2.135508950313106,DAMGO + $G_{NaP} \times 1.1$
22,DAMGO + $G_{NaP} \times 1.3$,3.3581237011892844,DAMGO + $G_{NaP} \times 1.3$
22,DAMGO + $G_{NaP} \times 1.5$,4.293163002422484,DAMGO + $G_{NaP} \times 1.5$
23,Control,3.006681790858111,Control
23,DAMGO,2.257621951530974,DAMGO
23,DAMGO + $G_{NaP} \times 1.1$,1.9918773568447916,DAMGO + $G_{NaP} \times 1.1$
23,DAMGO + $G_{NaP} \times 1.3$,3.3406673540283065,DAMGO + $G_{NaP} \times 1.3$
23,DAMGO + $G_{NaP} \times 1.5$,4.510168333994187,DAMGO + $G_{NaP} \times 1.5$
24,Control,3.4089550161884685,Control
24,DAMGO,2.370478317669532,DAMGO
24,DAMGO + $G_{NaP} \times 1.1$,0.9470221705678517,DAMGO + $G_{NaP} \times 1.1$
24,DAMGO + $G_{NaP} \times 1.3$,3.196279325580159,DAMGO + $G_{NaP} \times 1.3$
24,DAMGO + $G_{NaP} \times 1.5$,4.31527328592236,DAMGO + $G_{NaP} \times 1.5$
25,Control,3.536103196115981,Control
25,DAMGO,2.532931403072344,DAMGO
25,DAMGO + $G_{NaP} \times 1.1$,2.7040336807279814,DAMGO + $G_{NaP} \times 1.1$
25,DAMGO + $G_{NaP} \times 1.3$,3.7137850599541027,DAMGO + $G_{NaP} \times 1.3$
25,DAMGO + $G_{NaP} \times 1.5$,4.693546310724452,DAMGO + $G_{NaP} \times 1.5$
26,Control,3.4675016694293945,Control
26,DAMGO,2.330852392692932,DAMGO
26,DAMGO + $G_{NaP} \times 1.1$,2.519308564552195,DAMGO + $G_{NaP} \times 1.1$
26,DAMGO + $G_{NaP} \times 1.3$,3.7131248375401853,DAMGO + $G_{NaP} \times 1.3$
26,DAMGO + $G_{NaP} \times 1.5$,4.638455695362036,DAMGO + $G_{NaP} \times 1.5$
27,Control,2.9586127654364556,Control
27,DAMGO,1.9276176994446004,DAMGO
27,DAMGO + $G_{NaP} \times 1.1$,1.8492019777949569,DAMGO + $G_{NaP} \times 1.1$
27,DAMGO + $G_{NaP} \times 1.3$,3.2067841680836398,DAMGO + $G_{NaP} \times 1.3$
27,DAMGO + $G_{NaP} \times 1.5$,4.298716613973689,DAMGO + $G_{NaP} \times 1.5$
28,Control,3.543662896206949,Control
28,DAMGO,2.2575018165447447,DAMGO
28,DAMGO + $G_{NaP} \times 1.1$,2.434761285484506,DAMGO + $G_{NaP} \times 1.1$
28,DAMGO + $G_{NaP} \times 1.3$,3.5744698033335367,DAMGO + $G_{NaP} \times 1.3$
28,DAMGO + $G_{NaP} \times 1.5$,4.42785489030186,DAMGO + $G_{NaP} \times 1.5$
29,Control,3.414387727428605,Control
29,DAMGO,2.1167866271513303,DAMGO
29,DAMGO + $G_{NaP} \times 1.1$,2.700990121149105,DAMGO + $G_{NaP} \times 1.1$
29,DAMGO + $G_{NaP} \times 1.3$,3.5841515935429062,DAMGO + $G_{NaP} \times 1.3$
29,DAMGO + $G_{NaP} \times 1.5$,4.646759218302138,DAMGO + $G_{NaP} \times 1.5$
30,Control,3.937269426212024,Control
30,DAMGO,2.8727278628094473,DAMGO
30,DAMGO + $G_{NaP} \times 1.1$,2.818135541409052,DAMGO + $G_{NaP} \times 1.1$
30,DAMGO + $G_{NaP} \times 1.3$,3.7167474960808486,DAMGO + $G_{NaP} \times 1.3$
30,DAMGO + $G_{NaP} \times 1.5$,4.770833657052836,DAMGO + $G_{NaP} \times 1.5$
31,Control,3.94720999559415,Control
31,DAMGO,2.8334262448747123,DAMGO
