run_seed,Condition,Condition,Frequency
16,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.2853023181399726
16,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4136617696239097
17,Control,Control,0.36340066731389453
17,DAMGO,DAMGO,0.3181916318575867
17,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.37481703939459027
17,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.36462702916244066
17,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.5702663566102657
18,Control,Control,0.3784674226052466
18,DAMGO,DAMGO,0.3504540395868199
18,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3484273431178225
18,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3811252927323933
18,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.43680490978448416
19,Control,Control,0.35778421742343713
19,DAMGO,DAMGO,0.29053921792800275
19,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.2897548987317374
19,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3543534015682049
19,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.3872705139130122
20,Control,Control,0.4379839444260439
20,DAMGO,DAMGO,0.29065226010316336
20,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3090671081895512
20,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.39902319056824165
20,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.47183413166876764
21,Control,Control,0.35235181665009896
21,DAMGO,DAMGO,0.2958276937814213
21,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3421398660408687
21,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.38309696000179944
21,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.42146649320241425
22,Control,Control,0.4096326924691578
22,DAMGO,DAMGO,0.3178885220003447
22,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.28401432702783036
22,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.32988866955179763
22,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.34487939490284536
23,Control,Control,0.41469991616800456
23,DAMGO,DAMGO,0.3358874754032321
23,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.32633277906511615
23,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3452515852285881
23,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.41171746662438385
24,Control,Control,0.39657258160696207
24,DAMGO,DAMGO,0.33417252874847797
24,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.2824102542988374
24,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3600618373624048
24,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4364781003559189
25,Control,Control,0.3738017056572345
25,DAMGO,DAMGO,0.33835496942056476
25,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3245665773000327
25,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.37384686355105834
25,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4065496083841724
26,Control,Control,0.3967639392503613
26,DAMGO,DAMGO,0.3384441352810119
26,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3374303061172773
26,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.36504502046837356
26,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.40601148789631863
27,Control,Control,0.4258341857126967
27,DAMGO,DAMGO,0.3306017509633323
27,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.2909864720858794
27,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.36820108097581494
27,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.5108054233350492
28,Control,Control,0.356879359123611
28,DAMGO,DAMGO,0.350849110320238
28,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.35046051664503886
28,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.4092385139650005
28,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4267195538056389
29,Control,Control,0.3984143498595742
29,DAMGO,DAMGO,0.35666501790855154
29,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3321659778091802
29,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3800110720265338
29,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.44309951115167845
30,Control,Control,0.33341213405425785
30,DAMGO,DAMGO,0.329384320788048
30,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.35387200783947775
30,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.42459576329999954
30,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.44526339656310504
31,Control,Control,0.3911742250791374
31,DAMGO,DAMGO,0.37674058664435833
31,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3854227473190557
31,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.43002595353106793
31,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4501967804015872
32,Control,Control,0.35147343478444304
32,DAMGO,DAMGO,0.36282841079362566
32,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.34791596314910267
32,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3764626242062932
32,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4198652873510138
33,Control,Control,0.45256162761869395
33,DAMGO,DAMGO,0.4351070156206867
33,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3979964638145523
33,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.5276420231755775
33,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.5330643901432035
34,Control,Control,0.348505293380275
34,DAMGO,DAMGO,0.29194588956427436
34,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.28837169879070085
34,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3531665399580704
34,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.507846301128035
35,Control,Control,0.38226717554127587
35,DAMGO,DAMGO,0.31616918558119445
35,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.296068582682755
35,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3582074670286807
35,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.3736999842006882
36,Control,Control,0.383862912447864
36,DAMGO,DAMGO,0.36822788656206645
36,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.354259025628688
36,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.3998606736417884
36,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4161818861557114
37,Control,Control,0.39748166876812585
37,DAMGO,DAMGO,0.3271893708468253
37,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3564421440930493
37,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.40041536584187204
37,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.5012035200834641
38,Control,Control,0.3739174412851401
38,DAMGO,DAMGO,0.3092827484200944
38,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.37500216432324085
38,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.42691830336414177
38,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.4899112470059307
39,Control,Control,0.4014290928901489
39,DAMGO,DAMGO,0.37471865481689753
39,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.39343314140898683
39,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.40305670199106236
39,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.35010031094861593
40,Control,Control,0.3963683183678702
40,DAMGO,DAMGO,0.34772185544967127
40,DAMGO + $G_{NaP} \times 1.1$,DAMGO + $G_{NaP} \times 1.1$,0.3052482281263969
40,DAMGO + $G_{NaP} \times 1.3$,DAMGO + $G_{NaP} \times 1.3$,0.44707116665522745
40,DAMGO + $G_{NaP} \times 1.5$,DAMGO + $G_{NaP} \times 1.5$,0.39629182171123106
