,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,filename,Condition,run_seed,$G_{NaP}$ str
13631,230247,11.512350000000001,0.9463845363412519,4.636652548122882,11.1494,12.0958,1.8268500000000003,2.773200000000001,0.362082699688609,2.761799999999999,46.366525481228834,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13632,285483,14.27415,0.9352916723296716,4.657919842301027,13.922600000000001,14.8579,1.8322000000000003,2.7675,0.36064627813040945,2.772800000000002,46.579198423010254,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13633,340939,17.046950000000002,0.9477788944571017,4.663122115812321,16.6901,17.637900000000002,1.8156999999999996,2.763449999999999,0.36199750221723503,2.7624499999999976,46.63122115812324,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13634,396188,19.8094,0.9450606790701772,4.672438684872596,19.45355,20.39865,1.8400999999999996,2.7851500000000016,0.3590664272890485,2.785,46.724386848725956,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13635,451888,22.5944,0.9477469970172708,4.663890709711552,22.23875,23.186500000000002,1.8384500000000017,2.786200000000001,0.35891822048346295,2.7861499999999992,46.6389070971155,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13636,507611,25.38055,0.943349498478492,4.664773964954392,25.024900000000002,25.96825,1.8407499999999999,2.7840999999999987,0.3589311031747452,2.786050000000003,46.64773964954395,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13637,563332,28.166600000000003,0.9382859905329766,4.666660974150922,27.809050000000003,28.747300000000003,1.8430999999999997,2.7814000000000014,0.36038633415020915,2.774799999999999,46.66660974150926,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13638,618828,30.9414,0.9375461697940307,4.663477089553751,30.590400000000002,31.52795,1.8459000000000039,2.783450000000002,0.35937612305038424,2.782600000000002,46.63477089553751,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13639,674480,33.724000000000004,0.9452600148365018,4.662315397407681,33.3739,34.31915,1.8052000000000064,2.7504500000000007,0.3620499266848905,2.762049999999995,46.62315397407683,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13640,729721,36.48605,0.9334708892811788,4.658620966033737,36.124300000000005,37.0578,1.8475500000000054,2.780999999999999,0.36150676017641464,2.766200000000005,46.58620966033742,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13641,785045,39.252250000000004,0.9291520476045029,4.658514468754355,38.905300000000004,39.834450000000004,1.8404999999999987,2.7696499999999986,0.36075036075036093,2.7719999999999985,46.58514468754355,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13642,840485,42.02425,0.9381865024252563,4.660304281886646,41.67495,42.613150000000005,1.832499999999996,2.770699999999998,0.3601786486097101,2.7764000000000024,46.603042818866484,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13643,896013,44.800650000000005,0.9381675498688594,4.665160555855813,44.44565,45.3838,1.8393500000000031,2.7775000000000034,0.35973811065544353,2.7797999999999945,46.65160555855814,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13644,951609,47.58045,0.9506452247808862,4.665561878232182,47.223150000000004,48.1738,1.8462999999999994,2.7969499999999954,0.35804436169641357,2.7929500000000047,46.65561878232182,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13645,1007468,50.373400000000004,0.9432381567876088,4.648709853707935,50.0201,50.963350000000005,1.8378000000000014,2.781000000000006,0.35960874568469514,2.7807999999999993,46.48709853707938,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13646,1063084,53.1542,0.9370033952699393,4.656989980763022,52.80115,53.738150000000005,1.8516499999999994,2.788649999999997,0.3583394549656891,2.7906499999999994,46.569899807630236,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13647,1118897,55.94485,0.9419211017044378,4.671704228847098,55.58975,56.5317,1.8399499999999946,2.7818499999999986,0.35918895134785644,2.7840500000000006,46.71704228847098,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13648,1174578,58.7289,0.9409053531075013,4.671183966623055,58.3716,59.3125,5.288550000000001,6.22945,0.1565643518627244,6.387149999999998,46.711839666230574,seed35-gnap-05_con20_vars.pkl,Control,35,-0.5
13649,1302321,65.11605,0.9448713462044253,3.5247549021816162,64.60105,65.54595,2.2039000000000044,3.148750000000007,0.3173545326161123,3.151049999999998,35.24754902181617,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13650,1365342,68.2671,0.9635043840552447,3.870263925428304,67.74985000000001,68.71335,2.1212000000000018,3.084699999999998,0.31882163523616713,3.1365499999999997,38.702639254283085,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13651,1428073,71.40365,0.993613324326952,3.6692104684925013,70.83455000000001,71.82815000000001,2.1872999999999934,3.1809499999999957,0.31919307989402723,3.1329000000000065,36.692104684925,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13652,1490731,74.53655,0.9295529390165932,3.6665611043100057,74.01545,74.94500000000001,2.143500000000003,3.073050000000009,0.3194581988946741,3.1303000000000054,36.66561104310004,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13653,1553337,77.66685000000001,0.9811795445765835,3.680546560361762,77.08855,78.0697,2.1353500000000025,3.1165499999999895,0.32256503717562063,3.1001499999999993,36.80546560361765,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13654,1615340,80.76700000000001,0.9997487272484927,3.6930563238137353,80.2051,81.20485000000001,2.138300000000001,3.138050000000007,0.32029723583485586,3.122099999999989,36.930563238137374,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13655,1677782,83.8891,0.9934264210551162,3.6795875538828966,83.3431,84.33655,2.162300000000002,3.155699999999996,0.3159957024584458,3.164600000000007,36.795875538828994,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13656,1741074,87.0537,0.9564946222304018,3.6983300599527666,86.4988,87.45530000000001,2.125950000000003,3.0824500000000086,0.320677270395075,3.118399999999994,36.98330059952768,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13657,1803442,90.1721,1.0037190293889493,3.685723750361319,89.58125000000001,90.58500000000001,2.1285999999999916,3.1322999999999865,0.32344141667340454,3.0917500000000047,36.85723750361318,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13658,1865277,93.26385,0.9830218686101843,3.689756344806824,92.7136,93.6966,2.140100000000004,3.123100000000008,0.3174048975575698,3.150549999999995,36.897563448068254,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13659,1928288,96.4144,0.9758194962836453,3.7002550488915844,95.83665,96.8125,2.231800000000007,3.2075999999999993,0.32404406999351926,3.0859999999999985,37.002550488915844,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13660,1990008,99.5004,0.8806469279279118,4.652341736731181,99.0443,99.92495000000001,0.13599999999999568,1.0166499999999985,1.2805736970162591,0.7809000000000026,37.05892239965252,seed35-gnap-05_con20_vars.pkl,DAMGO,35,-0.5
13661,2005626,100.2813,1.0099295899506193,5.493672486038562,100.06095,101.07090000000001,1.8473999999999933,2.8573499999999967,0.3299458888742247,3.0307999999999993,54.93672486038565,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13662,2066242,103.3121,0.9541605546215317,4.51593773716867,102.9183,103.87245,1.9019499999999994,2.856099999999998,0.35764739543284174,2.796050000000008,45.15937737168668,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13663,2122163,106.10815000000001,0.9347900234482485,4.715385772890983,105.7744,106.70915000000001,1.8511000000000024,2.7859000000000123,0.3572704537334772,2.7989999999999924,47.15385772890983,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13664,2178143,108.90715,0.9287290340100416,4.6731329938258455,108.56025000000001,109.489,1.8817499999999967,2.810449999999989,0.35787778473651183,2.7942500000000052,46.73132993825849,seed35-gnap-05_con20_vars.pkl,Transient,35,-0.5
13665,2234028,111.7014,0.9177626530249836,4.669399894537094,111.37075,112.2885,1.8383500000000055,2.756150000000005,0.3592276605298611,2.7837499999999977,46.69399894537097,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13666,2289703,114.48515,0.9385722966047004,4.654262569819828,114.12685,115.06540000000001,1.8333499999999958,2.7719000000000023,0.36105645117614155,2.7696499999999986,46.54262569819831,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
13667,2345096,117.2548,0.9402090348476312,4.665491725153736,116.89880000000001,117.839,1.8373999999999882,2.7775999999999925,0.36001008028224846,2.777699999999996,46.654917251537384,seed35-gnap-05_con20_vars.pkl,Wash,35,-0.5
