run_seed,Condition,Amplitude Irregularity,Condition
17,Control,0.30133810401993916,Control
17,DAMGO,0.3107109175646324,DAMGO
17,DAMGO + $G_{Leak} \times 0.5$,0.24237538490303898,DAMGO + $G_{Leak} \times 0.5$
17,DAMGO + $G_{Leak} \times 0.7$,0.1310637059067572,DAMGO + $G_{Leak} \times 0.7$
17,DAMGO + $G_{Leak} \times 0.9$,0.2179089537789604,DAMGO + $G_{Leak} \times 0.9$
18,Control,0.017831414940315666,Control
18,DAMGO,0.26159826456564644,DAMGO
18,DAMGO + $G_{Leak} \times 0.5$,0.18064100928060225,DAMGO + $G_{Leak} \times 0.5$
18,DAMGO + $G_{Leak} \times 0.7$,0.06272740631347681,DAMGO + $G_{Leak} \times 0.7$
18,DAMGO + $G_{Leak} \times 0.9$,0.20714801985382286,DAMGO + $G_{Leak} \times 0.9$
19,Control,0.05027332799375879,Control
19,DAMGO,0.1524209636956265,DAMGO
19,DAMGO + $G_{Leak} \times 0.5$,0.35974358157475866,DAMGO + $G_{Leak} \times 0.5$
19,DAMGO + $G_{Leak} \times 0.7$,0.11388290303885648,DAMGO + $G_{Leak} \times 0.7$
19,DAMGO + $G_{Leak} \times 0.9$,0.21832769911482983,DAMGO + $G_{Leak} \times 0.9$
20,Control,0.15446767924715865,Control
20,DAMGO,0.15033896842273753,DAMGO
20,DAMGO + $G_{Leak} \times 0.5$,0.29584054595720727,DAMGO + $G_{Leak} \times 0.5$
20,DAMGO + $G_{Leak} \times 0.7$,0.11341966668861929,DAMGO + $G_{Leak} \times 0.7$
21,Control,0.03205577268626095,Control
21,DAMGO,0.18384705626121017,DAMGO
21,DAMGO + $G_{Leak} \times 0.5$,0.08543410060063931,DAMGO + $G_{Leak} \times 0.5$
21,DAMGO + $G_{Leak} \times 0.7$,0.09239247426615446,DAMGO + $G_{Leak} \times 0.7$
21,DAMGO + $G_{Leak} \times 0.9$,0.1782518867501062,DAMGO + $G_{Leak} \times 0.9$
22,Control,0.08949505068314892,Control
22,DAMGO,0.5046284237158395,DAMGO
22,DAMGO + $G_{Leak} \times 0.5$,0.04721783050561047,DAMGO + $G_{Leak} \times 0.5$
22,DAMGO + $G_{Leak} \times 0.7$,0.047243666761330995,DAMGO + $G_{Leak} \times 0.7$
22,DAMGO + $G_{Leak} \times 0.9$,0.15145400733911393,DAMGO + $G_{Leak} \times 0.9$
23,Control,0.05737911403073525,Control
23,DAMGO,0.22057893457923786,DAMGO
23,DAMGO + $G_{Leak} \times 0.5$,0.1698682677165916,DAMGO + $G_{Leak} \times 0.5$
23,DAMGO + $G_{Leak} \times 0.7$,0.12899623509174066,DAMGO + $G_{Leak} \times 0.7$
23,DAMGO + $G_{Leak} \times 0.9$,0.08454714764357266,DAMGO + $G_{Leak} \times 0.9$
24,Control,0.03247875127335816,Control
24,DAMGO,0.2580215584649122,DAMGO
24,DAMGO + $G_{Leak} \times 0.5$,0.11012072575749454,DAMGO + $G_{Leak} \times 0.5$
24,DAMGO + $G_{Leak} \times 0.7$,0.09933637141877312,DAMGO + $G_{Leak} \times 0.7$
24,DAMGO + $G_{Leak} \times 0.9$,0.18106642203107187,DAMGO + $G_{Leak} \times 0.9$
25,Control,0.032462969068048776,Control
25,DAMGO,0.34057185899992043,DAMGO
25,DAMGO + $G_{Leak} \times 0.5$,0.04930225677425306,DAMGO + $G_{Leak} \times 0.5$
25,DAMGO + $G_{Leak} \times 0.7$,0.045869548992276854,DAMGO + $G_{Leak} \times 0.7$
25,DAMGO + $G_{Leak} \times 0.9$,0.03911834934321717,DAMGO + $G_{Leak} \times 0.9$
26,Control,0.02550504781512998,Control
26,DAMGO,0.25313440870083515,DAMGO
26,DAMGO + $G_{Leak} \times 0.5$,0.25091437869823924,DAMGO + $G_{Leak} \times 0.5$
26,DAMGO + $G_{Leak} \times 0.7$,0.07867191869137337,DAMGO + $G_{Leak} \times 0.7$
26,DAMGO + $G_{Leak} \times 0.9$,0.16219365665546848,DAMGO + $G_{Leak} \times 0.9$
27,Control,0.041029100078005025,Control
27,DAMGO,0.2941831547504169,DAMGO
27,DAMGO + $G_{Leak} \times 0.5$,0.1764961013354894,DAMGO + $G_{Leak} \times 0.5$
27,DAMGO + $G_{Leak} \times 0.7$,0.04315487917535864,DAMGO + $G_{Leak} \times 0.7$
27,DAMGO + $G_{Leak} \times 0.9$,0.11866538792096215,DAMGO + $G_{Leak} \times 0.9$
28,Control,0.011016913093864591,Control
28,DAMGO,0.3155873697159283,DAMGO
28,DAMGO + $G_{Leak} \times 0.5$,0.17256535529794992,DAMGO + $G_{Leak} \times 0.5$
28,DAMGO + $G_{Leak} \times 0.7$,0.07276842375469315,DAMGO + $G_{Leak} \times 0.7$
28,DAMGO + $G_{Leak} \times 0.9$,0.10996983138096543,DAMGO + $G_{Leak} \times 0.9$
29,Control,0.028566283225584146,Control
29,DAMGO,0.5651051325814908,DAMGO
29,DAMGO + $G_{Leak} \times 0.5$,0.16261431713532326,DAMGO + $G_{Leak} \times 0.5$
29,DAMGO + $G_{Leak} \times 0.7$,0.06903018465549257,DAMGO + $G_{Leak} \times 0.7$
29,DAMGO + $G_{Leak} \times 0.9$,0.41877027252942883,DAMGO + $G_{Leak} \times 0.9$
30,Control,0.046877400809884714,Control
30,DAMGO,0.3431054264638226,DAMGO
30,DAMGO + $G_{Leak} \times 0.5$,0.1351569612740665,DAMGO + $G_{Leak} \times 0.5$
30,DAMGO + $G_{Leak} \times 0.7$,0.06280669181327202,DAMGO + $G_{Leak} \times 0.7$
30,DAMGO + $G_{Leak} \times 0.9$,0.044728633927790376,DAMGO + $G_{Leak} \times 0.9$
31,Control,0.04149114466439066,Control
31,DAMGO,0.32996964945420665,DAMGO
31,DAMGO + $G_{Leak} \times 0.5$,0.139730822637914,DAMGO + $G_{Leak} \times 0.5$
31,DAMGO + $G_{Leak} \times 0.7$,0.07136432710739567,DAMGO + $G_{Leak} \times 0.7$
31,DAMGO + $G_{Leak} \times 0.9$,0.27841591985266656,DAMGO + $G_{Leak} \times 0.9$
32,Control,0.02055352012610202,Control
32,DAMGO,0.14855838736545515,DAMGO
32,DAMGO + $G_{Leak} \times 0.5$,0.11044555192024455,DAMGO + $G_{Leak} \times 0.5$
32,DAMGO + $G_{Leak} \times 0.7$,0.03176440339811082,DAMGO + $G_{Leak} \times 0.7$
32,DAMGO + $G_{Leak} \times 0.9$,0.03918415791993536,DAMGO + $G_{Leak} \times 0.9$
33,Control,0.09665217895173032,Control
33,DAMGO,0.26923820663203185,DAMGO
33,DAMGO + $G_{Leak} \times 0.5$,0.4280954296988255,DAMGO + $G_{Leak} \times 0.5$
33,DAMGO + $G_{Leak} \times 0.7$,0.5031199492303584,DAMGO + $G_{Leak} \times 0.7$
33,DAMGO + $G_{Leak} \times 0.9$,0.1104549155634724,DAMGO + $G_{Leak} \times 0.9$
34,Control,0.14859813853234546,Control
34,DAMGO,0.393556179525697,DAMGO
34,DAMGO + $G_{Leak} \times 0.5$,0.15055023661282035,DAMGO + $G_{Leak} \times 0.5$
34,DAMGO + $G_{Leak} \times 0.7$,0.0671261527427498,DAMGO + $G_{Leak} \times 0.7$
34,DAMGO + $G_{Leak} \times 0.9$,0.15238632232417146,DAMGO + $G_{Leak} \times 0.9$
35,Control,0.2499327205140416,Control
35,DAMGO,0.5282796689832489,DAMGO
35,DAMGO + $G_{Leak} \times 0.5$,0.09934397657191472,DAMGO + $G_{Leak} \times 0.5$
35,DAMGO + $G_{Leak} \times 0.7$,0.03129479329077973,DAMGO + $G_{Leak} \times 0.7$
35,DAMGO + $G_{Leak} \times 0.9$,0.15603256583219424,DAMGO + $G_{Leak} \times 0.9$
36,Control,0.014020197382334652,Control
36,DAMGO,0.3177129164369043,DAMGO
36,DAMGO + $G_{Leak} \times 0.5$,0.1663426716734026,DAMGO + $G_{Leak} \times 0.5$
36,DAMGO + $G_{Leak} \times 0.7$,0.06009868990754572,DAMGO + $G_{Leak} \times 0.7$
36,DAMGO + $G_{Leak} \times 0.9$,0.12321582969466578,DAMGO + $G_{Leak} \times 0.9$
37,Control,0.029984401419335827,Control
37,DAMGO,0.2986287688694039,DAMGO
37,DAMGO + $G_{Leak} \times 0.5$,0.15414720608024435,DAMGO + $G_{Leak} \times 0.5$
37,DAMGO + $G_{Leak} \times 0.7$,0.03201419086147153,DAMGO + $G_{Leak} \times 0.7$
37,DAMGO + $G_{Leak} \times 0.9$,0.07192401296164899,DAMGO + $G_{Leak} \times 0.9$
38,Control,0.09853798711803446,Control
38,DAMGO,0.3725132539711326,DAMGO
38,DAMGO + $G_{Leak} \times 0.5$,0.15241908496189135,DAMGO + $G_{Leak} \times 0.5$
38,DAMGO + $G_{Leak} \times 0.7$,0.04474770930874284,DAMGO + $G_{Leak} \times 0.7$
38,DAMGO + $G_{Leak} \times 0.9$,0.1300008393771665,DAMGO + $G_{Leak} \times 0.9$
39,Control,0.049292663651952805,Control
39,DAMGO,0.3364420055822685,DAMGO
39,DAMGO + $G_{Leak} \times 0.5$,0.11904725237097763,DAMGO + $G_{Leak} \times 0.5$
39,DAMGO + $G_{Leak} \times 0.7$,0.10302432179097867,DAMGO + $G_{Leak} \times 0.7$
39,DAMGO + $G_{Leak} \times 0.9$,0.21632621881625363,DAMGO + $G_{Leak} \times 0.9$
40,Control,0.0251478485720808,Control
40,DAMGO,0.2407022112510511,DAMGO
40,DAMGO + $G_{Leak} \times 0.5$,0.1420503614272518,DAMGO + $G_{Leak} \times 0.5$
40,DAMGO + $G_{Leak} \times 0.7$,0.059155596403457814,DAMGO + $G_{Leak} \times 0.7$
40,DAMGO + $G_{Leak} \times 0.9$,0.06968845361256149,DAMGO + $G_{Leak} \times 0.9$
