run_seed,Condition,Frequency,Condition
17,Control,0.4054067477147957,Control
17,DAMGO,0.3316403212067533,DAMGO
17,DAMGO + $G_{Leak} \times 0.5$,0.3836291881563798,DAMGO + $G_{Leak} \times 0.5$
17,DAMGO + $G_{Leak} \times 0.7$,0.36734494276468277,DAMGO + $G_{Leak} \times 0.7$
17,DAMGO + $G_{Leak} \times 0.9$,0.24074160860588703,DAMGO + $G_{Leak} \times 0.9$
18,Control,0.37646272266372793,Control
18,DAMGO,0.34083043311173633,DAMGO
18,DAMGO + $G_{Leak} \times 0.5$,0.37918183013034645,DAMGO + $G_{Leak} \times 0.5$
18,DAMGO + $G_{Leak} \times 0.7$,0.33797150424017425,DAMGO + $G_{Leak} \times 0.7$
18,DAMGO + $G_{Leak} \times 0.9$,0.3241346378495594,DAMGO + $G_{Leak} \times 0.9$
19,Control,0.36245977794108303,Control
19,DAMGO,0.30282524096677177,DAMGO
19,DAMGO + $G_{Leak} \times 0.5$,0.3371861270917714,DAMGO + $G_{Leak} \times 0.5$
19,DAMGO + $G_{Leak} \times 0.7$,0.3248241916932249,DAMGO + $G_{Leak} \times 0.7$
19,DAMGO + $G_{Leak} \times 0.9$,0.32807795319367494,DAMGO + $G_{Leak} \times 0.9$
20,Control,0.4350241029937802,Control
20,DAMGO,0.27682183462617416,DAMGO
20,DAMGO + $G_{Leak} \times 0.5$,0.3711435819129827,DAMGO + $G_{Leak} \times 0.5$
20,DAMGO + $G_{Leak} \times 0.7$,0.30629390682931973,DAMGO + $G_{Leak} \times 0.7$
21,Control,0.35744447116673933,Control
21,DAMGO,0.2526026801579147,DAMGO
21,DAMGO + $G_{Leak} \times 0.5$,0.2964238849273487,DAMGO + $G_{Leak} \times 0.5$
21,DAMGO + $G_{Leak} \times 0.7$,0.3249300042143337,DAMGO + $G_{Leak} \times 0.7$
21,DAMGO + $G_{Leak} \times 0.9$,0.2481668506879222,DAMGO + $G_{Leak} \times 0.9$
22,Control,0.40557915094337665,Control
22,DAMGO,0.2816094134599334,DAMGO
22,DAMGO + $G_{Leak} \times 0.5$,0.29670032279871705,DAMGO + $G_{Leak} \times 0.5$
22,DAMGO + $G_{Leak} \times 0.7$,0.2916524699694964,DAMGO + $G_{Leak} \times 0.7$
22,DAMGO + $G_{Leak} \times 0.9$,0.2616433652348649,DAMGO + $G_{Leak} \times 0.9$
23,Control,0.4146549387182763,Control
23,DAMGO,0.31604507567814727,DAMGO
23,DAMGO + $G_{Leak} \times 0.5$,0.28446723282787995,DAMGO + $G_{Leak} \times 0.5$
23,DAMGO + $G_{Leak} \times 0.7$,0.3359572182777071,DAMGO + $G_{Leak} \times 0.7$
23,DAMGO + $G_{Leak} \times 0.9$,0.29059370701871334,DAMGO + $G_{Leak} \times 0.9$
24,Control,0.39131387900606135,Control
24,DAMGO,0.34523214741221253,DAMGO
24,DAMGO + $G_{Leak} \times 0.5$,0.3915685860957095,DAMGO + $G_{Leak} \times 0.5$
24,DAMGO + $G_{Leak} \times 0.7$,0.34428528852698276,DAMGO + $G_{Leak} \times 0.7$
24,DAMGO + $G_{Leak} \times 0.9$,0.3100460073054585,DAMGO + $G_{Leak} \times 0.9$
25,Control,0.37131943810723284,Control
25,DAMGO,0.348098201026491,DAMGO
25,DAMGO + $G_{Leak} \times 0.5$,0.3186607956415281,DAMGO + $G_{Leak} \times 0.5$
25,DAMGO + $G_{Leak} \times 0.7$,0.3291092606182387,DAMGO + $G_{Leak} \times 0.7$
25,DAMGO + $G_{Leak} \times 0.9$,0.32123772269198103,DAMGO + $G_{Leak} \times 0.9$
26,Control,0.39794434782183113,Control
26,DAMGO,0.3317006932327234,DAMGO
26,DAMGO + $G_{Leak} \times 0.5$,0.380871106829887,DAMGO + $G_{Leak} \times 0.5$
26,DAMGO + $G_{Leak} \times 0.7$,0.2979337904767457,DAMGO + $G_{Leak} \times 0.7$
26,DAMGO + $G_{Leak} \times 0.9$,0.29888848850969635,DAMGO + $G_{Leak} \times 0.9$
27,Control,0.42078162706474087,Control
27,DAMGO,0.30520147422639377,DAMGO
27,DAMGO + $G_{Leak} \times 0.5$,0.3649893119307424,DAMGO + $G_{Leak} \times 0.5$
27,DAMGO + $G_{Leak} \times 0.7$,0.30382833051280544,DAMGO + $G_{Leak} \times 0.7$
27,DAMGO + $G_{Leak} \times 0.9$,0.2665993428396686,DAMGO + $G_{Leak} \times 0.9$
28,Control,0.3546977374857194,Control
28,DAMGO,0.371361204657665,DAMGO
28,DAMGO + $G_{Leak} \times 0.5$,0.35233277510585215,DAMGO + $G_{Leak} \times 0.5$
28,DAMGO + $G_{Leak} \times 0.7$,0.3524510949399816,DAMGO + $G_{Leak} \times 0.7$
28,DAMGO + $G_{Leak} \times 0.9$,0.3397472469441657,DAMGO + $G_{Leak} \times 0.9$
29,Control,0.39503651300100445,Control
29,DAMGO,0.3253559629230896,DAMGO
29,DAMGO + $G_{Leak} \times 0.5$,0.3572495565897483,DAMGO + $G_{Leak} \times 0.5$
29,DAMGO + $G_{Leak} \times 0.7$,0.3392974128047374,DAMGO + $G_{Leak} \times 0.7$
29,DAMGO + $G_{Leak} \times 0.9$,0.3174533663251903,DAMGO + $G_{Leak} \times 0.9$
30,Control,0.33467662850177243,Control
30,DAMGO,0.3248364683596742,DAMGO
30,DAMGO + $G_{Leak} \times 0.5$,0.34439147040792006,DAMGO + $G_{Leak} \times 0.5$
30,DAMGO + $G_{Leak} \times 0.7$,0.35863030311912536,DAMGO + $G_{Leak} \times 0.7$
30,DAMGO + $G_{Leak} \times 0.9$,0.32832382652501113,DAMGO + $G_{Leak} \times 0.9$
31,Control,0.3914380813052378,Control
31,DAMGO,0.3654806822095688,DAMGO
31,DAMGO + $G_{Leak} \times 0.5$,0.3806101490224638,DAMGO + $G_{Leak} \times 0.5$
31,DAMGO + $G_{Leak} \times 0.7$,0.3593012769507022,DAMGO + $G_{Leak} \times 0.7$
31,DAMGO + $G_{Leak} \times 0.9$,0.3402449499826521,DAMGO + $G_{Leak} \times 0.9$
32,Control,0.35247598899261273,Control
32,DAMGO,0.35775189085170733,DAMGO
32,DAMGO + $G_{Leak} \times 0.5$,0.24774763254203389,DAMGO + $G_{Leak} \times 0.5$
32,DAMGO + $G_{Leak} \times 0.7$,0.3214422458004504,DAMGO + $G_{Leak} \times 0.7$
32,DAMGO + $G_{Leak} \times 0.9$,0.323106266389387,DAMGO + $G_{Leak} \times 0.9$
