run_seed,Condition,Frequency Irregularity,Condition
17,Control,0.49059689478704976,Control
17,DAMGO,0.817372298713831,DAMGO
17,DAMGO + $G_{Leak} \times 0.5$,0.5458243380173483,DAMGO + $G_{Leak} \times 0.5$
17,DAMGO + $G_{Leak} \times 0.7$,0.3796778560724029,DAMGO + $G_{Leak} \times 0.7$
17,DAMGO + $G_{Leak} \times 0.9$,0.1328360880778173,DAMGO + $G_{Leak} \times 0.9$
18,Control,0.1856730930818076,Control
18,DAMGO,0.20472160619347402,DAMGO
18,DAMGO + $G_{Leak} \times 0.5$,0.28704491637142554,DAMGO + $G_{Leak} \times 0.5$
18,DAMGO + $G_{Leak} \times 0.7$,0.020174728709022018,DAMGO + $G_{Leak} \times 0.7$
18,DAMGO + $G_{Leak} \times 0.9$,0.06609876753182974,DAMGO + $G_{Leak} \times 0.9$
19,Control,0.12771024061086617,Control
19,DAMGO,0.12623423838556508,DAMGO
19,DAMGO + $G_{Leak} \times 0.5$,0.07436066744954682,DAMGO + $G_{Leak} \times 0.5$
19,DAMGO + $G_{Leak} \times 0.7$,0.04410647747056115,DAMGO + $G_{Leak} \times 0.7$
19,DAMGO + $G_{Leak} \times 0.9$,0.0799784869989906,DAMGO + $G_{Leak} \times 0.9$
20,Control,0.23922638221066064,Control
20,DAMGO,0.3538448243281852,DAMGO
20,DAMGO + $G_{Leak} \times 0.5$,0.3538166874024248,DAMGO + $G_{Leak} \times 0.5$
20,DAMGO + $G_{Leak} \times 0.7$,0.2923853176023004,DAMGO + $G_{Leak} \times 0.7$
21,Control,0.2034390547926494,Control
21,DAMGO,0.1805335913300651,DAMGO
21,DAMGO + $G_{Leak} \times 0.5$,0.03885093458233768,DAMGO + $G_{Leak} \times 0.5$
21,DAMGO + $G_{Leak} \times 0.7$,0.04145591670372771,DAMGO + $G_{Leak} \times 0.7$
21,DAMGO + $G_{Leak} \times 0.9$,0.23218094540605513,DAMGO + $G_{Leak} \times 0.9$
22,Control,0.24921774949832948,Control
22,DAMGO,0.16130716821353885,DAMGO
22,DAMGO + $G_{Leak} \times 0.5$,0.036298698995046945,DAMGO + $G_{Leak} \times 0.5$
22,DAMGO + $G_{Leak} \times 0.7$,0.06477773843658138,DAMGO + $G_{Leak} \times 0.7$
22,DAMGO + $G_{Leak} \times 0.9$,0.09811801054090834,DAMGO + $G_{Leak} \times 0.9$
23,Control,0.21048975603549694,Control
23,DAMGO,0.570700484032866,DAMGO
