,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,filename,Condition,run_seed,$G_{Leak}$ str
0,73389,3.6694500000000003,1.3919006749858776,3.2143767740634424,2.89635,4.288250000000001,1.4374000000000002,2.8293,0.3048780487804878,3.2800000000000002,20.55952007266773,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
1,138989,6.949450000000001,1.770592406646815,3.5581673271103114,5.72565,7.4962,1.6074000000000002,3.378,0.3680326813020996,2.71715,30.550457950754623,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
2,193332,9.6666,1.1814579784373085,4.037746545649384,9.1036,10.2851,1.5311000000000003,2.7125500000000002,0.37419547971860506,2.6723999999999997,37.35237794262912,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
3,246780,12.339,1.1398253694762825,4.0787827247294,11.81615,12.956000000000001,1.595749999999999,2.73555,0.3570026061190247,2.8011,37.002772396100525,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
4,302802,15.1401,1.1960166383989825,3.9313182424147683,14.5517,15.7477,1.5369499999999992,2.732949999999999,0.3554734017027176,2.8131500000000003,35.487866762947874,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
5,359065,17.95325,1.258309280994418,3.9862496367257343,17.28465,18.543,1.6006999999999998,2.8590000000000018,0.3666495563540369,2.7273999999999994,35.58466594400886,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
6,413613,20.68065,1.1250230051582826,3.747813469088186,20.14365,21.268700000000003,1.4415000000000013,2.5665000000000013,0.37340602303915127,2.6780500000000025,37.47813469088189,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
7,467174,23.358700000000002,1.2597143088034208,3.8759448470223674,22.710150000000002,23.969900000000003,1.5974000000000004,2.857099999999999,0.3613434750401994,2.76745,35.34260386126448,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
8,522523,26.126150000000003,1.144976308222342,3.9880332717368603,25.56725,26.71225,1.439549999999997,2.5844999999999985,0.36896965224610295,2.7102499999999985,36.412368397629336,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
9,576728,28.8364,1.2739301592479169,3.9502941912723273,28.15175,29.425700000000003,1.5867000000000004,2.8606000000000016,0.36489025925452934,2.740549999999999,35.525809679224736,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Transient,1,-0.5
10,631539,31.57695,1.1990069493495046,3.9703204114333985,31.012400000000003,32.211400000000005,1.5349000000000004,2.733900000000002,0.35922120842014477,2.783800000000003,36.69462399821985,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Control,1,-0.5
11,687215,34.36075,1.2032721594325617,3.960265825887358,33.74625,34.94955,1.5853499999999983,2.7885999999999953,0.3695150115473445,2.706249999999997,35.49064551883421,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Control,1,-0.5
12,741340,37.067,1.1503177499072859,3.880824449964827,36.5349,37.6852,1.4817999999999998,2.632150000000003,0.3622794623772777,2.760300000000001,36.18562785100606,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Control,1,-0.5
13,796546,39.8273,1.23320000013315,3.9010767492308354,39.167,40.400200000000005,1.5261999999999958,2.7593999999999994,0.38013418736814053,2.630650000000003,35.50576783624011,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Control,1,-0.5
14,849159,42.457950000000004,1.1459980758249062,3.934454525230109,41.9264,43.0724,1.4579000000000022,2.603900000000003,0.3219315895372238,3.1062499999999957,36.04302706003176,seed1-gleak-05_damgo_to_low_gl_vars.pkl,Control,1,-0.5
