,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,filename,Condition,run_seed,$G_{Leak}$ str
0,63896,3.1948000000000003,1.4048742648423742,3.2350493916959984,2.68885,4.09375,1.43215,2.837,0.31918798576421586,3.1329499999999997,24.078257765319737,seed1-gleak05_vars.pkl,Transient,1,0.5
1,126555,6.32775,1.366871635913504,3.2890811750645454,5.52585,6.89275,1.5003000000000002,2.8671500000000005,0.4044407595397464,2.47255,31.76291590926525,seed1-gleak05_vars.pkl,Transient,1,0.5
2,176006,8.8003,1.0734676534802683,4.004559230661663,8.393,9.4665,1.54425,2.6176999999999992,0.372668492742281,2.683350000000001,37.824522826087815,seed1-gleak05_vars.pkl,Transient,1,0.5
3,229673,11.48365,1.1094720167379828,3.9762864033384204,11.01075,12.1202,1.455400000000001,2.5649000000000015,0.38319314850650465,2.6096500000000002,38.14191316812446,seed1-gleak05_vars.pkl,Transient,1,0.5
4,281866,14.093300000000001,1.125231230558455,3.955154203267277,13.575600000000001,14.70085,1.5900999999999996,2.715299999999999,0.3731134451429958,2.6801499999999994,37.416272477551594,seed1-gleak05_vars.pkl,Transient,1,0.5
5,335469,16.77345,1.079086176388929,3.918858426092001,16.290950000000002,17.37005,1.4420499999999983,2.5211499999999987,0.3997042188780301,2.501850000000001,39.188584260920024,seed1-gleak05_vars.pkl,Transient,1,0.5
6,385506,19.2753,1.0612390035340737,3.9636902242316765,18.8121,19.8733,1.5000500000000017,2.561300000000003,0.3875067813686739,2.5806000000000004,38.34616243123384,seed1-gleak05_vars.pkl,Transient,1,0.5
7,437118,21.855900000000002,1.1081457798524614,3.998814876563223,21.373350000000002,22.4815,1.4541000000000004,2.562249999999999,0.3946641408161655,2.5337999999999994,37.747679692048045,seed1-gleak05_vars.pkl,Transient,1,0.5
8,487794,24.3897,1.1094591087506969,3.995103744147599,23.935650000000003,25.0451,1.5198,2.629249999999999,0.371733392810676,2.690100000000001,38.82930907249239,seed1-gleak05_vars.pkl,Transient,1,0.5
9,541596,27.079800000000002,1.0847903974705608,3.9719122919818517,26.56485,27.64965,1.529,2.613750000000003,0.38254083623426793,2.6141000000000005,38.08328354951863,seed1-gleak05_vars.pkl,Transient,1,0.5
10,593878,29.693900000000003,1.0989623406599103,3.917225058673303,29.178600000000003,30.277600000000003,1.5479500000000002,2.6468999999999987,0.38213883103731644,2.616849999999996,37.5339757513709,seed1-gleak05_vars.pkl,Transient,1,0.5
11,646215,32.31075,1.099913603183959,3.976359808125366,31.82555,32.925450000000005,1.4039499999999947,2.503899999999998,0.3927806909012346,2.545950000000005,38.48078421804938,seed1-gleak05_vars.pkl,Control,1,0.5
12,697134,34.856700000000004,1.157207300484518,3.864579341267074,34.3294,35.4866,1.4557999999999964,2.6129999999999995,0.39714058776806976,2.5180000000000007,37.651020348839836,seed1-gleak05_vars.pkl,Control,1,0.5
13,747494,37.374700000000004,1.1099192906665791,3.8157964809820726,36.94245,38.052350000000004,1.4874999999999972,2.597450000000002,0.3794850388023458,2.635149999999996,37.085282587847814,seed1-gleak05_vars.pkl,Control,1,0.5
14,800197,40.00985,1.0818975692015549,3.9337682663879363,39.5399,40.6218,1.5739500000000035,2.655850000000001,0.38551987354948075,2.593900000000005,38.10637132567987,seed1-gleak05_vars.pkl,Control,1,0.5
15,852075,42.603750000000005,1.0930751909061218,3.8734302975973662,42.1957,43.2888,1.411200000000001,2.504249999999999,0.3794922393837054,2.6350999999999942,38.16039754141394,seed1-gleak05_vars.pkl,Control,1,0.5
16,904777,45.23885,1.075339953955001,3.9313586561169203,44.69995,45.7753,1.5806499999999986,2.655999999999999,0.392064612248098,2.550600000000003,37.550002148051334,seed1-gleak05_vars.pkl,Control,1,0.5
17,955789,47.78945,1.100346269858029,3.921242840310022,47.35595,48.4563,1.4781500000000065,2.5785000000000053,0.37511487893167295,2.665849999999999,38.6598945884017,seed1-gleak05_vars.pkl,Control,1,0.5
18,1009106,50.4553,1.0832490529949195,3.8609184317699317,49.934450000000005,51.017700000000005,1.4610500000000002,2.5443,0.38350175452052643,2.6075500000000034,37.40468792531536,seed1-gleak05_vars.pkl,Control,1,0.5
19,1061257,53.062850000000005,1.1440858051323566,3.8460881904424085,52.4788,53.6229,1.4075500000000005,2.551649999999995,0.40626460013406746,2.4614499999999992,37.172063312341734,seed1-gleak05_vars.pkl,Control,1,0.5
20,1110486,55.524300000000004,1.1119457833999769,3.8360940729527613,55.03045,56.14235,1.4671500000000037,2.579100000000004,0.3772446054021432,2.6507999999999967,37.975031519509116,seed1-gleak05_vars.pkl,Control,1,0.5
21,1163502,58.1751,1.1165484178300598,3.977353591033065,57.609550000000006,58.7261,4.367550000000001,5.484099999999998,0.14251916882820745,7.016599999999998,37.559273419211486,seed1-gleak05_vars.pkl,Control,1,0.5
22,1303834,65.1917,2.47090163020395,2.1915355304350896,63.093650000000004,65.56455,2.2802499999999952,4.751150000000003,0.3233211549031653,3.0928999999999998,18.482860433587078,seed1-gleak05_vars.pkl,Transient,1,0.5
23,1365692,68.2846,1.015178266271879,3.522292430646484,67.84475,68.85995,1.6775499999999965,2.692700000000002,0.3418452808258974,2.925300000000007,34.76554427016484,seed1-gleak05_vars.pkl,Transient,1,0.5
24,1424198,71.2099,1.1615147670939798,3.2711229454786945,70.53745,71.69895,1.594450000000009,2.7559499999999986,0.3355592094225034,2.980099999999993,29.83236103903636,seed1-gleak05_vars.pkl,DAMGO,1,0.5
25,1483800,74.19,1.269639994541451,2.559317908285003,73.29345,74.5631,1.8353999999999928,3.1050499999999914,0.37638556937726925,2.6568500000000057,23.575469643604286,seed1-gleak05_vars.pkl,DAMGO,1,0.5
26,1536937,76.84685,1.0453116903010988,3.4375379546916136,76.39845,77.44375000000001,1.6187499999999915,2.664050000000003,0.3436189952580575,2.9102000000000032,33.57663776731309,seed1-gleak05_vars.pkl,DAMGO,1,0.5
27,1595141,79.75705,1.1757139127247385,3.1945962531343177,79.06255,80.23825000000001,1.733699999999999,2.909400000000005,0.357181126549273,2.7997000000000014,29.568279649571885,seed1-gleak05_vars.pkl,DAMGO,1,0.5
28,1651135,82.55675000000001,1.1245957667980926,2.866380920251558,81.9719,83.0965,1.7308500000000038,2.8554500000000047,0.35568834587134834,2.8114499999999936,27.716287998937013,seed1-gleak05_vars.pkl,DAMGO,1,0.5
29,1707364,85.3682,1.1347740906363004,3.2138260441357964,84.82735000000001,85.96215000000001,1.3953499999999934,2.5300999999999902,0.32085218339910715,3.1167000000000087,31.520769354232364,seed1-gleak05_vars.pkl,DAMGO,1,0.5
30,1769698,88.48490000000001,1.5361244417078677,2.622386551065919,87.35745,88.8936,1.8164500000000032,3.352550000000008,0.35155563367903014,2.8444999999999965,25.29404664639617,seed1-gleak05_vars.pkl,DAMGO,1,0.5
31,1826588,91.3294,1.149155207981565,3.0505775068413286,90.71000000000001,91.85915,1.6651000000000096,2.8142500000000013,0.345554442102353,2.893900000000002,30.015353858168716,seed1-gleak05_vars.pkl,DAMGO,1,0.5
32,1884466,94.22330000000001,1.2424202001155937,3.4322729487175003,93.52425000000001,94.7667,2.0447500000000076,3.287149999999997,0.31043367584515574,3.2212999999999994,32.59823494113496,seed1-gleak05_vars.pkl,DAMGO,1,0.5
33,1948892,97.44460000000001,1.182818898003106,3.2065700784097118,96.8114,97.99425000000001,1.8980999999999995,3.0808999999999997,0.3632730905458189,2.752749999999992,30.25170804536883,seed1-gleak05_vars.pkl,DAMGO,1,0.5
34,2003947,100.19735,1.5943015508872924,5.900803152996474,99.8923,101.48660000000001,1.9451999999999998,3.539500000000004,0.2684311541197467,3.725350000000006,59.00803152996473,seed1-gleak05_vars.pkl,DAMGO,1,0.5
35,2078454,103.9227,1.0701112214450026,4.27337325949787,103.43185000000001,104.50195000000001,1.4919000000000011,2.5620499999999993,0.3961886650422927,2.5240500000000026,36.256729287704616,seed1-gleak05_vars.pkl,Transient,1,0.5
36,2128935,106.44675000000001,1.0690087769151666,3.9958230980052676,105.99390000000001,107.0629,1.5504000000000104,2.6194500000000005,0.3847485668115897,2.599099999999993,38.425038645833524,seed1-gleak05_vars.pkl,Transient,1,0.5
37,2180917,109.04585,1.0589762111364165,4.05829742594775,108.61335000000001,109.6723,1.4475999999999942,2.5065999999999917,0.39051821767485495,2.560699999999997,38.29762036902666,seed1-gleak05_vars.pkl,Transient,1,0.5
38,2232131,111.60655,1.1313043685713084,3.9698441784739416,111.1199,112.25120000000001,1.4817999999999927,2.613100000000003,0.3848151925037991,2.5986500000000063,38.41513719119899,seed1-gleak05_vars.pkl,Wash,1,0.5
39,2284104,114.2052,1.104213670654106,3.8844823785657425,113.733,114.83725000000001,1.5690000000000026,2.6732000000000085,0.37283522547210163,2.682150000000007,37.29045943595246,seed1-gleak05_vars.pkl,Wash,1,0.5
40,2337747,116.88735000000001,1.0918871689297958,3.9712836484564775,116.40620000000001,117.49810000000001,1.4958500000000043,2.5877499999999998,0.3926264748031967,2.5469499999999954,38.311934445423624,seed1-gleak05_vars.pkl,Wash,1,0.5
41,2388686,119.43430000000001,1.092269988460443,3.8740466139972085,118.99395000000001,120.08625,1.4556500000000057,2.5478999999999985,0.3880631766851651,2.576899999999995,37.824765469526625,seed1-gleak05_vars.pkl,Wash,1,0.5
42,2440224,122.0112,1.0852014551387634,3.945350126940106,121.54190000000001,122.62710000000001,1.528099999999995,2.613349999999997,0.3814318953350873,2.621700000000004,37.68952310396122,seed1-gleak05_vars.pkl,Wash,1,0.5
