run_seed,oprm1_T_oprm1_T,oprm1_T_oprm1_B,oprm1_T_oprm1_Q,oprm1_B_oprm1_T,oprm1_B_oprm1_B,oprm1_B_oprm1_Q,oprm1_Q_oprm1_T,oprm1_Q_oprm1_B,oprm1_Q_oprm1_Q,exc_T_oprm1_T,exc_T_oprm1_B,exc_T_oprm1_Q,exc_B_oprm1_T,exc_B_oprm1_B,exc_B_oprm1_Q,exc_Q_oprm1_T,exc_Q_oprm1_B,exc_Q_oprm1_Q,inh_T_oprm1_T,inh_T_oprm1_B,inh_T_oprm1_Q,inh_B_oprm1_T,inh_B_oprm1_B,inh_B_oprm1_Q,inh_Q_oprm1_T,inh_Q_oprm1_B,inh_Q_oprm1_Q,oprm1_T_exc_T,oprm1_T_exc_B,oprm1_T_exc_Q,oprm1_B_exc_T,oprm1_B_exc_B,oprm1_B_exc_Q,oprm1_Q_exc_T,oprm1_Q_exc_B,oprm1_Q_exc_Q,oprm1_T_inh_T,oprm1_T_inh_B,oprm1_T_inh_Q,oprm1_B_inh_T,oprm1_B_inh_B,oprm1_B_inh_Q,oprm1_Q_inh_T,oprm1_Q_inh_B,oprm1_Q_inh_Q,exc_T_exc_T,exc_T_exc_B,exc_T_exc_Q,exc_B_exc_T,exc_B_exc_B,exc_B_exc_Q,exc_Q_exc_T,exc_Q_exc_B,exc_Q_exc_Q,exc_T_inh_T,exc_T_inh_B,exc_T_inh_Q,exc_B_inh_T,exc_B_inh_B,exc_B_inh_Q,exc_Q_inh_T,exc_Q_inh_B,exc_Q_inh_Q,inh_T_exc_T,inh_T_exc_B,inh_T_exc_Q,inh_B_exc_T,inh_B_exc_B,inh_B_exc_Q,inh_Q_exc_T,inh_Q_exc_B,inh_Q_exc_Q,inh_T_inh_T,inh_T_inh_B,inh_T_inh_Q,inh_B_inh_T,inh_B_inh_B,inh_B_inh_Q,inh_Q_inh_T,inh_Q_inh_B,inh_Q_inh_Q,I_opioid_shutdown
19,107,11,66,14,2,8,60,5,36,84,11,72,14,2,8,65,7,55,0,0,1,5,0,3,73,10,42,88,18,65,7,3,7,62,13,43,1,2,60,0,2,10,1,6,38,69,18,54,18,6,8,48,9,42,0,5,67,0,0,10,1,1,42,1,0,0,6,0,3,56,10,57,0,0,1,0,0,1,1,2,52,5.8
20,40,9,61,9,3,20,60,15,61,42,11,58,4,1,9,46,19,70,0,0,2,3,0,3,56,17,74,50,6,60,18,2,20,47,13,86,1,5,51,3,0,13,7,8,60,46,6,53,11,1,3,46,9,84,2,2,49,1,0,8,1,3,78,4,1,1,5,0,4,57,13,75,0,1,2,0,0,1,1,5,66,4.84
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,65,10,55,12,1,8,57,12,76,51,13,48,17,2,16,76,9,50,1,0,0,5,1,4,60,9,52,47,16,57,7,1,10,54,9,63,0,7,60,0,0,5,1,5,59,50,13,50,17,3,12,59,15,54,0,4,53,1,2,15,1,2,54,1,0,1,4,1,4,48,8,62,0,0,2,0,0,4,0,5,74,4.8533333333333335
23,67,11,52,16,2,9,64,5,61,74,11,69,12,2,7,66,7,33,3,0,3,10,3,6,61,8,54,84,7,51,18,1,10,58,7,69,1,7,61,0,2,9,1,6,56,74,8,58,9,1,11,54,9,52,2,6,60,0,1,11,0,3,49,0,1,0,7,0,6,55,8,43,0,0,2,0,0,4,0,0,55,5.16
24,53,8,64,10,1,9,56,5,73,79,8,71,4,0,6,56,4,73,0,0,1,4,1,8,68,3,57,65,7,53,14,1,8,71,8,63,0,12,50,0,1,7,1,9,68,72,6,74,3,0,8,68,2,67,3,13,67,0,0,5,1,6,51,2,0,2,4,1,7,55,3,49,0,0,0,0,2,8,1,8,64,5.52
25,85,15,51,6,1,11,67,13,50,74,15,68,13,1,12,85,5,62,4,0,3,6,0,9,51,10,50,51,10,64,13,3,9,49,10,49,3,8,54,2,2,6,3,7,62,50,14,68,7,4,11,52,9,64,1,10,53,2,2,16,4,8,56,3,0,5,11,1,11,70,7,56,0,1,3,1,0,6,4,8,36,5.240000000000001
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,45,5,52,8,0,6,72,7,90,58,6,72,10,0,10,58,8,83,3,0,2,6,1,5,45,4,76,55,6,68,8,3,7,67,11,79,0,4,48,1,0,1,2,7,78,40,8,55,8,4,9,63,16,71,2,6,47,0,0,7,2,4,50,0,0,1,5,1,9,58,12,68,0,0,1,0,0,7,0,6,62,5.3
28,68,7,69,13,4,16,62,8,68,65,8,61,25,2,12,73,7,54,3,0,2,5,1,9,47,6,56,61,9,72,9,4,6,63,6,64,5,8,54,1,0,11,2,2,64,48,13,61,10,4,13,49,11,51,1,6,40,1,1,9,1,4,55,1,0,4,4,3,2,64,8,77,0,1,6,0,3,8,2,8,47,5.48
29,54,13,71,6,1,12,64,10,67,62,11,70,6,4,3,56,6,66,2,0,3,11,0,9,46,7,44,52,8,53,15,3,8,67,15,65,1,11,42,1,2,10,0,8,49,64,18,70,13,0,9,62,5,45,1,14,54,0,0,10,2,14,50,1,0,2,12,1,9,58,6,66,0,0,1,0,3,11,1,8,48,5.226666666666667
30,72,9,65,10,0,7,63,10,38,72,4,75,8,1,3,73,12,58,5,0,2,8,0,7,64,8,51,80,10,79,14,1,9,73,7,49,3,2,63,1,2,6,1,8,50,81,9,82,6,1,5,63,6,55,6,4,76,1,0,13,3,4,51,7,0,8,6,1,3,52,4,57,2,1,6,0,0,2,8,1,38,5.96
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,63,14,60,14,2,12,58,11,49,62,11,54,5,1,6,65,9,60,1,0,1,3,0,3,69,12,81,64,2,59,11,0,14,51,3,49,4,7,73,1,0,11,0,2,52,75,4,71,4,0,6,82,5,74,0,0,55,0,0,4,1,1,63,2,0,1,1,0,0,48,6,71,0,0,2,0,0,1,2,2,67,5.646666666666667
33,54,8,63,10,2,10,68,13,61,69,10,64,8,1,7,63,8,51,5,1,5,4,0,9,55,19,66,52,10,45,14,2,9,64,9,63,4,3,48,1,0,12,8,3,47,57,11,66,8,2,13,65,17,52,7,5,66,1,0,12,4,3,53,14,0,8,3,0,2,58,13,50,1,1,5,0,0,0,7,2,70,4.8133333333333335
34,74,6,67,9,0,3,64,4,55,57,10,58,9,0,3,81,9,61,0,0,0,2,1,4,62,6,51,66,4,67,8,0,13,71,6,74,0,3,54,0,0,5,0,6,69,40,5,58,1,0,10,61,4,60,0,4,69,0,0,3,0,8,61,0,0,0,6,1,5,66,2,59,0,0,0,0,0,5,0,5,63,5.093333333333333
35,46,9,56,10,2,7,67,10,71,42,9,81,7,0,14,41,10,95,1,0,2,7,0,4,69,9,80,51,6,55,7,1,20,61,7,80,1,4,60,0,1,8,1,4,58,61,4,64,7,0,8,65,7,86,1,2,55,0,0,7,1,8,62,1,0,4,5,0,9,50,6,67,0,0,1,0,1,6,0,4,66,4.739999999999998
36,81,6,62,10,0,15,65,5,59,67,10,75,6,0,14,44,7,53,2,0,4,4,0,8,45,4,70,72,11,58,6,0,7,64,11,58,2,2,72,2,2,10,3,5,58,89,9,57,13,1,10,48,9,57,10,6,57,0,0,9,4,2,62,7,1,1,1,0,9,62,10,51,0,0,3,0,0,7,4,5,51,5.793333333333332
37,56,3,80,7,1,7,69,7,64,76,5,79,12,4,10,44,5,60,1,0,0,6,1,7,56,8,66,57,9,43,7,3,6,84,8,45,1,5,58,0,0,9,2,14,62,87,15,58,20,2,8,52,8,35,3,11,78,0,0,11,2,4,44,2,0,0,5,0,4,63,21,42,0,0,0,0,2,3,0,5,48,4.873333333333334
38,58,7,53,5,1,13,58,5,82,64,3,69,17,1,11,51,4,73,6,0,6,12,0,6,45,3,63,61,10,58,7,0,4,53,21,63,3,6,62,0,2,5,4,5,60,48,11,55,6,0,9,39,15,81,2,4,45,3,1,13,4,13,44,8,0,6,11,1,5,42,7,72,0,1,4,0,0,11,2,10,49,4.759999999999999
39,61,9,66,8,0,7,63,7,59,56,5,53,8,0,6,89,9,84,0,0,0,3,1,7,64,11,64,55,6,61,9,7,18,54,7,77,0,3,53,0,1,9,0,3,60,47,5,67,3,0,7,59,7,78,0,5,62,0,0,10,0,5,59,0,0,0,3,1,3,63,9,89,0,0,0,0,0,5,0,2,68,5.213333333333334
40,67,5,64,10,0,6,64,10,62,81,10,56,14,2,16,57,4,62,3,1,2,6,0,4,60,8,54,68,15,63,13,1,6,54,9,60,3,3,73,0,0,12,4,5,62,68,20,51,15,4,14,54,24,67,2,7,60,0,3,13,6,5,54,2,0,4,4,2,4,41,19,47,0,0,4,0,1,9,0,2,53,6.166666666666668
