,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,run_seed
0,62131,3.1065500000000004,1.4731486498150321,1.4289531743844446,2.76465,4.2378,1.6199000000000003,3.0930500000000003,0.32371364291148047,3.0891500000000005,14.289531743844456,1
1,123914,6.1957,0.9472895326990219,4.422507151369835,5.8576500000000005,6.804950000000001,1.8926499999999988,2.839949999999999,0.357685773048377,2.79575,44.225071513698346,1
2,179829,8.99145,0.9386264528994158,4.719454802540589,8.6976,9.63625,1.9178999999999995,2.8565000000000005,0.3499807510586917,2.8573000000000004,47.19454802540587,1
3,236975,11.84875,0.9414575964183532,4.7545319297118525,11.55415,12.495600000000001,1.9433500000000006,2.8848000000000003,0.3463323405139572,2.8873999999999995,47.545319297118525,1
4,294723,14.73615,0.9299006123875531,4.7538902469657955,14.4389,15.3688,1.9354000000000013,2.8653000000000013,0.34831675926087197,2.870949999999999,47.538902469657955,1
5,352142,17.6071,0.9248454582909035,4.735982163099429,17.3042,18.22905,1.929549999999999,2.8543999999999983,0.3503485968538693,2.854300000000002,47.359821630994304,1
6,409228,20.4614,0.9221541753127619,4.732496002437884,20.15865,21.0808,1.9335000000000022,2.8557000000000023,0.3508648819339671,2.850100000000001,47.32496002437884,1
7,466230,23.311500000000002,0.9334594190651493,4.695570364762197,23.014300000000002,23.9478,1.9460499999999996,2.8795,0.3456679168322993,2.892949999999999,46.955703647621995,1
8,524089,26.20445,0.93935713885132,4.6827871276273925,25.893800000000002,26.8332,1.9466999999999999,2.8860499999999973,0.3465363689919257,2.8857,46.82787127627394,1
9,581803,29.09015,0.9367943200525072,4.686218574263663,28.77985,29.71665,1.944700000000001,2.8815000000000026,0.3467226045802054,2.8841500000000018,46.86218574263663,1
10,639486,31.974300000000003,0.9433593942439883,4.657356541229525,31.6614,32.60475,1.9397499999999965,2.883149999999997,0.3467947495274926,2.883549999999996,46.57356541229529,1
11,697157,34.85785,0.929394234008831,4.645491259253724,34.54455,35.4739,1.9632500000000022,2.8926500000000033,0.34692709327134835,2.8824500000000057,46.45491259253724,1
12,754806,37.740300000000005,0.9420087392963818,4.65044453979808,37.43715,38.379200000000004,1.9575999999999993,2.8995999999999995,0.34461368805569026,2.9017999999999944,46.504445397980824,1
13,812842,40.6421,0.9354655373238784,4.631879975057828,40.336800000000004,41.27225,1.9616000000000042,2.897100000000002,0.3453396415374515,2.895700000000005,46.318799750578286,1
14,870756,43.537800000000004,0.9216809955639707,4.613019637772489,43.233850000000004,44.155550000000005,1.9464499999999987,2.86815,0.34833495889647537,2.8707999999999956,46.130196377724886,1
15,928172,46.4086,0.9254023471468246,4.591259459704169,46.102000000000004,47.0274,1.9455500000000043,2.8709500000000006,0.34791079567198907,2.874300000000005,45.912594597041696,1
16,985658,49.282900000000005,0.9279037666778023,4.578652562614948,48.972950000000004,49.900850000000005,1.9582499999999996,2.8861500000000007,0.34659041677497626,2.885249999999999,45.7865256261495,1
17,1043363,52.168150000000004,0.9349904896389984,4.562098581578667,51.859100000000005,52.7941,1.9509499999999989,2.885949999999994,0.34608662548235863,2.8894499999999965,45.62098581578667,1
18,1101152,55.0576,0.9330591326048947,4.541602626614498,54.7451,55.67815,1.9478000000000009,2.880900000000004,0.34507151607170566,2.8979500000000016,45.416026266145025,1
19,1159111,57.95555,0.918347669644712,4.526412391610549,57.626000000000005,58.54435,1.9735000000000014,2.891849999999998,0.3481227480809729,2.872550000000004,45.2641239161055,1
20,1216562,60.828100000000006,0.9190329520671978,4.537931943885631,60.5178,61.43685,1.9479500000000058,2.8670000000000044,0.34591303746238256,2.890899999999995,45.379319438856314,1
21,1274380,63.719,0.9136094921186334,4.49426602338054,63.384800000000006,64.2984,1.9584499999999991,2.8720499999999944,0.3483288921399589,2.8708499999999972,44.94266023380544,1
22,1331797,66.58985,0.9216630046506645,4.483027432599009,66.25685,67.1785,1.9532000000000096,2.8748500000000092,0.3477716531325531,2.8754500000000007,44.8302743259901,1
23,1389306,69.4653,0.9228842445161776,4.461607514544525,69.13170000000001,70.05460000000001,1.9440999999999917,2.8669999999999902,0.3490035947370252,2.865300000000005,44.61607514544525,1
24,1446612,72.3306,0.9169665564431111,4.442491925031476,71.9987,72.9157,1.9362500000000011,2.853200000000001,0.3521932836740808,2.839349999999996,44.42491925031479,1
25,1503399,75.16995,0.912078778383648,4.422792326935443,74.8519,75.76400000000001,1.9487499999999898,2.8607999999999976,0.35040384042609,2.8538500000000084,44.22792326935444,1
26,1560476,78.02380000000001,0.9022457945625298,4.441490258172806,77.71275,78.61500000000001,1.9538999999999902,2.8561499999999995,0.34947927587894173,2.861399999999989,44.4149025817281,1
27,1617704,80.8852,0.9013806499232888,4.463538965991738,80.56885,81.47025000000001,1.939399999999992,2.84075,0.3522491105709946,2.8389000000000095,44.63538965991741,1
28,1674482,83.7241,0.8982226333936327,4.438919822019656,83.4096,84.30785,1.9598000000000013,2.858000000000004,0.3492351749668228,2.8633999999999986,44.38919822019654,1
29,1731750,86.5875,0.903263092975563,4.420915124274394,86.26765,87.1709,1.9501000000000062,2.853350000000006,0.349607565507718,2.860349999999997,44.20915124274396,1
30,1788957,89.44785,0.9025621414459079,4.372977147716156,89.12100000000001,90.02355,1.9720000000000084,2.8745499999999993,0.34848669652035985,2.869550000000004,43.72977147716155,1
31,1846348,92.3174,0.9194559160178062,4.372142161566465,91.9955,92.915,1.9507499999999993,2.870199999999997,0.34775955904087863,2.875550000000004,43.72142161566467,1
32,1903859,95.19295000000001,0.9051305510993,4.349332003350071,94.8657,95.77085000000001,1.9505999999999943,2.855699999999999,0.34829249603817286,2.87115,43.4933200335007,1
33,1961282,98.06410000000001,0.9057158612679574,4.334280854355079,97.7214,98.62715,1.96220000000001,2.867900000000006,0.35045910142286474,2.8533999999999935,43.34280854355079,1
34,2018350,100.9175,0.9086056323815137,4.317109820513409,100.58930000000001,101.4979,1.9438999999999993,2.852499999999992,0.350459101422863,2.8534000000000077,43.17109820513407,1
