,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks
83,4765856,238.2928,1.218365090038581,2.9224277019938576,237.51395000000002,238.7323,1.7417499999999961,2.9601000000000113,0.33072610917268824,3.0236500000000035,29.224277019938594
84,4826329,241.31645,1.2845519049805123,2.8164998286033267,240.47400000000002,241.75855,1.7256500000000017,3.0101999999999975,0.3275198558912613,3.0532500000000193,28.164998286033278
85,4887394,244.36970000000002,1.3095794924699702,2.687690278785084,243.48425,244.7938,1.7143000000000086,3.0238999999999976,0.32752521944189966,3.0531999999999755,26.87690278785086
86,4948458,247.4229,1.3144213089014405,2.7813248219827926,246.50815,247.82255,1.7227000000000032,3.037149999999997,0.32943501894251215,3.035500000000013,27.813248219827933
87,5009168,250.4584,1.3395131358865648,2.551552450131293,249.54525,250.8848,1.6968499999999835,3.0363499999999988,0.3287743293003695,3.0415999999999883,25.51552450131293
88,5070000,253.5,1.3278331311668736,2.75801978469854,252.58165000000002,253.9095,1.7056499999999915,3.0335000000000036,0.32640271567059015,3.06370000000004,27.5801978469854
89,5131274,256.56370000000004,1.391466913106246,2.463114396173392,255.6151,257.0066,1.6704000000000292,3.061850000000021,0.32180209171360036,3.107499999999959,24.63114396173394
90,5193424,259.6712,1.407635503450362,2.5131753111232698,258.677,260.08465,1.6876499999999623,3.095299999999952,0.3201024327784867,3.1240000000000236,25.131753111232715
91,5255904,262.7952,1.4342256673592608,2.4905957715555687,261.77225,263.2065,1.6791499999999928,3.1133500000000254,0.3188775510204115,3.1359999999999673,24.905957715555687
92,5318624,265.9312,1.4507249706337229,2.3919509756959734,264.8856,266.33635000000004,1.6946500000000242,3.1453500000000076,0.31701247444086955,3.154449999999997,23.91950975695975
93,5381713,269.08565,1.4771393578620629,2.42685629554364,268.03095,269.5081,1.675299999999993,3.1524499999999875,0.3111290874583835,3.2141000000000304,24.268562955436416
94,5445995,272.29975,1.513527641869383,2.2574209497076083,271.1834,272.69695,1.6682500000000005,3.1817500000000223,0.3158260430155092,3.1662999999999784,22.5742094970761
95,5509321,275.46605,1.5033109249724077,2.448227124123626,274.36515,275.86845,1.6691999999999894,3.172499999999957,0.3101400282227411,3.224350000000015,24.48227124123627
96,5573808,278.6904,1.586287310845731,1.8601822858409847,277.53765,279.12395000000004,1.6465499999999906,3.2328500000000417,0.3160855959793906,3.163700000000006,18.601822858409864
97,5637082,281.8541,1.5117342237991283,2.6118520826865996,280.77055,282.28225000000003,1.6510999999999854,3.1628499999999917,0.30966463320223975,3.2293000000000234,26.118520826866014
98,5701668,285.08340000000004,1.6784804221714849,1.6513261528383616,283.9334,285.61185,1.6426999999999907,3.321199999999976,0.31198327769631884,3.2052999999999656,16.513261528383627
99,5765774,288.2887,1.4371594553861302,2.921790424313439,287.25455,288.6917,1.6066999999999894,3.0438500000000204,0.2971812359767585,3.364950000000022,29.2179042431344
100,5833073,291.65365,1.9414718475002797,1.174205463693884,290.29845,292.23990000000003,1.559599999999989,3.501100000000008,0.31005829095870285,3.225199999999973,11.600378579292826
101,5897577,294.87885,1.462735206471011,2.898236810868113,293.7995,295.26225,5.119650000000036,6.5823500000000195,0.15992323684631268,6.253000000000043,28.982368108681143
102,6022637,301.13185000000004,1.2491074770925101,3.367804947049862,300.38190000000003,301.63100000000003,5.0747499999999945,6.323849999999993,0.1559831226261329,6.410949999999957,33.678049470498635
103,6150856,307.5428,1.317332766579045,3.192005947461677,306.70575,308.0231,4.988299999999981,6.305649999999957,0.15693167195003244,6.372200000000021,31.920059474616775
104,6278300,313.915,1.3720796575133223,3.073848322687194,313.01135,314.38345000000004,4.901450000000011,6.273500000000013,0.1615000121125004,6.19195000000002,30.73848322687195
105,6402139,320.10695000000004,1.3322392447344493,3.1846603580719126,319.2849,320.6171,4.906750000000045,6.239000000000033,0.15994369981766524,6.2521999999999585,31.846603580719137
106,6527183,326.35915,1.3442007949559485,3.048474472974302,325.5239,326.8681,4.8202,6.1644000000000005,0.1556262790534805,6.42565000000002,30.484744729743014
107,6655696,332.7848,1.5844812290395145,2.8209425249739866,331.68825000000004,333.27275000000003,4.910500000000013,6.4950000000000045,0.1448267871625531,6.904800000000024,28.209425249739876
108,6793792,339.68960000000004,1.9480879884315656,2.355793696080273,338.18330000000003,340.13140000000004,4.817650000000015,6.765749999999969,0.15653004202831744,6.388549999999952,23.557936960802735
109,6921563,346.07815,1.6116772187192459,2.770230644272349,344.949,346.5607,7.397400000000005,9.009050000000002,0.11723260707733225,8.530050000000017,27.702306442723483
110,7092164,354.6082,1.2517710998151919,3.3373118898380625,353.95805,355.20985,7.137499999999989,8.389250000000004,0.11589634231143667,8.6284,33.373118898380646
111,7264732,363.2366,1.4655461611184293,2.8905540411264496,362.34735,363.8129,9.592399999999998,11.057950000000005,0.09266895867891108,10.791100000000029,28.90554041126449
112,7480554,374.02770000000004,1.2217736613516696,3.2885447492890094,373.40525,374.62705,9.625749999999982,10.847499999999968,0.09145156496490539,10.934750000000008,32.88544749289009
113,7699249,384.96245000000005,1.321616296571074,2.9825463657121034,384.25275,385.5744,9.340800000000002,10.662400000000048,0.09121091612244166,10.963599999999985,29.82546365712104
114,7918521,395.92605000000003,1.5833713319136296,2.3652988137023456,394.91515000000004,396.49855,11.552849999999978,13.136199999999974,0.07483741571436052,13.362300000000007,23.652988137023478
115,8185767,409.28835000000004,1.9477124995164108,1.0745187391641942,408.05135,409.99905,9.023450000000025,10.971150000000023,0.09385133010797603,10.655149999999992,10.745187391641949
116,8398870,419.94350000000003,1.531492609838117,2.1815789816497357,419.02255,420.55405,9.379149999999981,10.910649999999976,0.09200986345736256,10.868400000000008,21.81578981649738
117,8616238,430.81190000000004,1.6835109748971648,1.4641663059202354,429.93315,431.61665,,,,,14.641663059202358
0,61405,3.07025,1.4831950620952166,1.4918403151361534,2.7227,4.205900000000001,1.5562499999999995,3.03945,0.33061130029424407,3.0246999999999997,14.918403151361538
1,121899,6.09495,1.0077507049986627,3.8972911295393544,5.7622,6.769950000000001,1.7768000000000006,2.784550000000001,0.36383481899217746,2.748500000000001,38.972911295393544
2,176869,8.84345,0.9782513885542402,4.4053177886341,8.546700000000001,9.52495,1.8269000000000002,2.8051499999999994,0.357040845472722,2.8008000000000006,44.05317788634104
3,232885,11.644250000000001,0.9671513109452237,4.465982271910335,11.35185,12.319,1.83765,2.8048,0.35662066260119113,2.8041,44.65982271910333
4,288967,14.448350000000001,0.9692127662002983,4.45313071375827,14.15665,15.125900000000001,1.8609500000000008,2.8301500000000015,0.3540324293705303,2.8246,44.53130713758271
5,345459,17.27295,0.9761585583142209,4.425989550380137,16.986800000000002,17.96295,1.8495000000000026,2.8256499999999996,0.35330695308083654,2.830400000000001,44.25989550380138
6,402067,20.103350000000002,0.9716554304427206,4.414526980594388,19.8125,20.78415,1.8628499999999981,2.8344999999999985,0.35228633833579936,2.8385999999999996,44.14526980594389
7,458839,22.941950000000002,0.9819176508053701,4.42312008247044,22.64695,23.6289,1.8579000000000008,2.8398000000000003,0.3523794421833431,2.8378499999999995,44.23120082470439
8,515596,25.7798,0.990810393281249,4.401493170756794,25.48675,26.477600000000002,1.8619500000000002,2.8527500000000003,0.3498583073855089,2.8583,44.01493170756798
9,572762,28.6381,0.9801079729829449,4.386856718516313,28.3395,29.3196,1.8592499999999994,2.8393499999999996,0.35249744439352815,2.8369,43.868567185163144
10,629500,31.475,0.9707479398064199,4.381032953097694,31.178900000000002,32.14965,1.8762499999999989,2.8469999999999978,0.351074287319197,2.848399999999998,43.81032953097696
11,686468,34.3234,0.9702654190041242,4.367301412560451,34.0259,34.99615,1.8961499999999987,2.8664500000000004,0.34888183372291776,2.8663000000000025,43.673014125604524
12,743794,37.1897,0.96581550127581,4.361571666102762,36.89235,37.85815,1.8671500000000023,2.8330000000000055,0.35251608354631153,2.836750000000002,43.61571666102763
13,800529,40.026450000000004,0.9798161905380781,4.337428612887301,39.72535,40.70515,1.8795000000000002,2.859349999999999,0.34982159098859633,2.8585999999999956,43.37428612887301
14,857701,42.88505,0.9784140487712634,4.326529036035396,42.584700000000005,43.5631,1.8784999999999954,2.856899999999996,0.3485109868088586,2.8693500000000043,43.265290360354
15,915088,45.754400000000004,0.9669585619414343,4.318396952377022,45.4416,46.408550000000005,1.8688000000000002,2.835800000000006,0.3536630651977867,2.827549999999995,43.18396952377023
16,971639,48.58195,0.9697926383194281,4.267591107116537,48.2774,49.2472,1.8789499999999961,2.8487499999999955,0.3509757124806959,2.8492000000000033,42.67591107116537
17,1028623,51.43115,0.9626000717405522,4.276095606379592,51.1261,52.0887,1.8676499999999976,2.8302499999999995,0.35345680757811393,2.8292,42.76095606379592
18,1085207,54.26035,0.9682019416509895,4.26142026732969,53.9564,54.924600000000005,1.8810499999999948,2.8492999999999995,0.3511297600028094,2.8479499999999973,42.6142026732969
19,1142166,57.1083,0.9651667879892979,4.2862535403243385,56.80565,57.7708,1.8851000000000013,2.8502500000000026,0.35086488193396664,2.8501000000000047,42.86253540324341
20,1199168,59.958400000000005,0.957499381678924,4.305276160398925,59.655950000000004,60.61345,1.8863999999999947,2.843899999999998,0.3497665308406643,2.8590499999999963,43.05276160398925
21,1256349,62.81745,0.9413987381049316,4.297786522079107,62.49985,63.441250000000004,1.865950000000005,2.8073500000000067,0.35730236712818153,2.7987500000000054,42.9778652207911
22,1312324,65.6162,0.9525629360328196,4.257505298133189,65.30715000000001,66.25970000000001,1.9040999999999997,2.856650000000002,0.34896705750977103,2.8656000000000006,42.57505298133191
23,1369636,68.4818,0.9525633319328423,4.242718053185882,68.16380000000001,69.11635,1.8966000000000065,2.8491499999999945,0.350938761186174,2.849499999999992,42.42718053185881
24,1426626,71.3313,0.9480764225255814,4.227767867730421,71.013,71.96105,1.8875500000000045,2.835650000000001,0.351222253441978,2.847200000000001,42.27767867730422
25,1483570,74.1785,0.9604409941942083,4.203654922456778,73.84865,74.8091,1.8840000000000003,2.844449999999995,0.35179680216706793,2.842550000000003,42.03654922456776
26,1540421,77.02105,0.9530951326095849,4.1939428864126995,76.69305,77.64615,1.904299999999992,2.8573999999999984,0.3504345388281469,2.8536,41.93942886412698
27,1597493,79.87465,0.9620963722776622,4.186218040465583,79.5505,80.5126,1.9107000000000056,2.8728000000000122,0.347451443660748,2.8781000000000034,41.86218040465581
28,1655055,82.75275,0.9575804375314271,4.181574935319816,82.4233,83.38085000000001,1.9104499999999973,2.8680499999999967,0.3486628778633941,2.868099999999998,41.8157493531982
